Gender,Annual Income,Company,Transmission,Color,Price ($),Body Style,Dealer_Region
Male,1300000,Mercedes-b,Manual,Black,26000,Passenger,Pasco
Male,960000,Mercedes-b,Auto,Pale white,31000,Sedan,Pasco
Male,13500,Pontiac,Auto,Pale white,19000,Suv,Janesville
Male,1810000,Saturn,Manual,Pale white,13000,Hatchback,Scottsdale
Male,1130000,Saturn,Auto,Black,33000,Hardtop,Middletown
Male,1090000,Mercury,Manual,Pale white,61000,Sedan,Austin
Male,500000,Toyota,Auto,Black,21000,Suv,Middletown
Female,1700000,Nissan,Manual,Pale white,16000,Sedan,Austin
Male,860000,Oldsmobile,Auto,Pale white,15000,Hatchback,Middletown
Male,13500,Volkswagen,Manual,Pale white,27000,Hatchback,Janesville
Male,2035000,Volkswagen,Auto,Pale white,13500,Hatchback,Scottsdale
Male,1372500,Nissan,Auto,Black,9250,Passenger,Janesville
Male,1800000,Ford,Auto,Pale white,31000,Hatchback,Scottsdale
Male,1250000,Volkswagen,Auto,Pale white,32000,Hatchback,Middletown
Male,1175000,Volvo,Auto,Pale white,29500,Sedan,Aurora
Male,1100000,Mercury,Manual,Pale white,14000,Passenger,Aurora
Male,1315000,Nissan,Auto,Pale white,18501,Hatchback,Greenville
Female,480000,Acura,Manual,Pale white,17001,Suv,Pasco
Female,423500,Mitsubishi,Manual,Pale white,12500,Suv,Janesville
Female,13500,Bmw,Manual,Black,21000,Suv,Scottsdale
Male,13500,Bmw,Auto,Pale white,62000,Suv,Aurora
Male,653000,Ford,Auto,Black,11000,Passenger,Greenville
Male,13500,Nissan,Manual,Pale white,20000,Hatchback,Pasco
Male,2862000,Honda,Auto,Pale white,21200,Sedan,Janesville
Male,2180000,Toyota,Manual,Black,29000,Hatchback,Scottsdale
Male,13500,Cadillac,Auto,Pale white,17000,Passenger,Austin
Male,1500000,Lexus,Auto,Pale white,27000,Hatchback,Middletown
Male,1190000,Volvo,Manual,Black,36000,Sedan,Aurora
Female,920000,Lincoln,Auto,Black,19000,Sedan,Greenville
Male,320000,Nissan,Auto,Pale white,18000,Hatchback,Pasco
Male,690000,Chevrolet,Auto,Pale white,15000,Hardtop,Janesville
Male,13500,Toyota,Manual,Pale white,24000,Hardtop,Middletown
Male,905000,Nissan,Auto,Black,16000,Passenger,Scottsdale
Male,13500,Ford,Auto,Pale white,29000,Passenger,Austin
Female,1180000,Pontiac,Auto,Pale white,19000,Hatchback,Middletown
Male,800000,Mercedes-b,Manual,Black,22000,Suv,Greenville
Male,1225000,Dodge,Auto,Pale white,23500,Suv,Pasco
Female,1200000,Mitsubishi,Auto,Pale white,36000,Passenger,Janesville
Male,13500,Pontiac,Auto,Pale white,19000,Hatchback,Scottsdale
Male,1350000,Toyota,Auto,Pale white,53000,Hardtop,Pasco
Male,426000,Cadillac,Auto,Black,28000,Sedan,Austin
Male,1447500,Oldsmobile,Auto,Black,60750,Sedan,Middletown
Male,770000,Chevrolet,Auto,Pale white,42000,Hardtop,Janesville
Male,1610000,Cadillac,Manual,Pale white,31000,Passenger,Middletown
Female,1540000,Ford,Auto,Pale white,62000,Sedan,Janesville
Male,1285000,Mercedes-b,Auto,Black,39500,Suv,Scottsdale
Male,1400000,Toyota,Manual,Pale white,24001,Hardtop,Aurora
Male,1200000,Mercedes-b,Auto,Pale white,15000,Hatchback,Greenville
Male,1720000,Nissan,Manual,Black,19000,Suv,Middletown
Female,600000,Volkswagen,Auto,Pale white,35000,Hardtop,Austin
Male,457000,Hyundai,Manual,Pale white,21000,Suv,Aurora
Male,2450000,Nissan,Auto,Pale white,20000,Hatchback,Aurora
Male,1975000,Ford,Manual,Black,18500,Hatchback,Austin
Female,860000,Chevrolet,Auto,Pale white,45000,Suv,Pasco
Male,944000,Oldsmobile,Auto,Pale white,12000,Sedan,Greenville
Male,1135000,Chevrolet,Manual,Pale white,21500,Suv,Greenville
Female,2210000,Volvo,Manual,Pale white,17000,Sedan,Greenville
Male,316000,Chevrolet,Auto,Pale white,46000,Suv,Middletown
Male,1151000,Toyota,Auto,Pale white,41100,Passenger,Janesville
Male,1385000,Toyota,Manual,Pale white,22500,Hatchback,Pasco
Female,700000,Mercury,Auto,Black,9000,Suv,Pasco
Male,1542000,Chevrolet,Manual,Pale white,20200,Suv,Janesville
Female,962000,Nissan,Manual,Pale white,59000,Sedan,Scottsdale
Male,1290000,Volvo,Manual,Black,22000,Suv,Austin
Male,2250000,Subaru,Auto,Pale white,57000,Suv,Pasco
Female,2155000,Chevrolet,Auto,Pale white,25500,Suv,Janesville
Male,13500,Acura,Manual,Black,18000,Suv,Scottsdale
Female,13500,Honda,Manual,Pale white,27000,Passenger,Austin
Female,807000,Toyota,Manual,Pale white,22000,Hatchback,Aurora
Female,825000,Toyota,Manual,Pale white,82000,Hatchback,Greenville
Female,720000,Plymouth,Auto,Pale white,15000,Hatchback,Pasco
Female,850000,Toyota,Auto,Pale white,31000,Hatchback,Janesville
Male,1130000,Volkswagen,Auto,Pale white,13000,Hatchback,Scottsdale
Male,13500,Volkswagen,Auto,Pale white,17000,Sedan,Austin
Male,1370000,Chrysler,Auto,Pale white,46000,Sedan,Middletown
Male,1311000,Ford,Auto,Pale white,19100,Sedan,Aurora
Female,1280000,Dodge,Auto,Pale white,10000,Suv,Janesville
Male,2000000,Lincoln,Manual,Black,42000,Passenger,Scottsdale
Female,13500,Mitsubishi,Auto,Black,18000,Hatchback,Austin
Male,650000,Toyota,Auto,Pale white,25000,Suv,Janesville
Male,1290000,Volkswagen,Auto,Black,22000,Passenger,Janesville
Male,13500,Volkswagen,Manual,Black,25000,Suv,Middletown
Female,911000,Buick,Manual,Pale white,23000,Hatchback,Scottsdale
Male,1150000,Volkswagen,Auto,Pale white,33000,Passenger,Greenville
Male,655000,Oldsmobile,Manual,Pale white,25000,Sedan,Scottsdale
Male,470000,Honda,Manual,Black,43000,Sedan,Scottsdale
Male,1180000,Bmw,Manual,Pale white,21001,Sedan,Austin
Male,1195000,Pontiac,Manual,Pale white,11501,Hatchback,Middletown
Female,1420000,Volkswagen,Auto,Pale white,32000,Hatchback,Aurora
Male,13500,Hyundai,Manual,Black,20000,Suv,Greenville
Male,13500,Volkswagen,Auto,Black,9000,Hatchback,Pasco
Male,916000,Ford,Auto,Pale white,29000,Passenger,Austin
Female,592000,Mercedes-b,Manual,Pale white,17000,Hatchback,Middletown
Male,750000,Honda,Manual,Pale white,27000,Hatchback,Aurora
Male,1900000,Honda,Manual,Pale white,54000,Passenger,Pasco
Female,1410000,Mercury,Auto,Black,33000,Hatchback,Janesville
Male,1125000,Honda,Manual,Pale white,27500,Hardtop,Aurora
Female,580000,Toyota,Manual,Pale white,14000,Suv,Austin
Male,710000,Chevrolet,Auto,Black,41000,Sedan,Middletown
Female,335000,Ford,Manual,Pale white,22000,Suv,Aurora
Female,13500,Ford,Manual,Pale white,24000,Suv,Aurora
Male,1012500,Porsche,Manual,Pale white,24250,Suv,Greenville
Female,970000,Oldsmobile,Manual,Pale white,37000,Suv,Pasco
Female,1495000,Lexus,Manual,Pale white,54500,Suv,Janesville
Male,13500,Chrysler,Auto,Pale white,46000,Sedan,Scottsdale
Male,13500,Dodge,Manual,Pale white,37000,Hatchback,Austin
Female,922000,Dodge,Manual,Black,26000,Suv,Greenville
Female,1130000,Nissan,Auto,Pale white,21000,Hatchback,Pasco
Female,13500,Toyota,Auto,Pale white,41000,Passenger,Janesville
Male,1090000,Nissan,Manual,Black,12000,Suv,Austin
Male,630100,Dodge,Manual,Pale white,25100,Hatchback,Middletown
Male,1350000,Toyota,Manual,Black,34000,Hatchback,Aurora
Male,1330000,Oldsmobile,Manual,Pale white,34000,Passenger,Greenville
Female,591000,Mitsubishi,Auto,Pale white,39000,Hardtop,Aurora
Male,13500,Mercury,Auto,Black,33000,Hatchback,Janesville
Male,1030000,Lincoln,Manual,Pale white,33000,Sedan,Janesville
Female,13500,Acura,Manual,Black,18000,Suv,Scottsdale
Female,927000,Honda,Auto,Pale white,21000,Sedan,Austin
Male,840000,Mitsubishi,Auto,Pale white,39000,Suv,Middletown
Male,730000,Mercedes-b,Manual,Pale white,25000,Suv,Aurora
Male,770000,Nissan,Auto,Pale white,46000,Suv,Greenville
Female,1125000,Chevrolet,Manual,Pale white,13500,Passenger,Middletown
Female,995000,Dodge,Auto,Pale white,21000,Sedan,Aurora
Male,13500,Hyundai,Manual,Pale white,13000,Suv,Greenville
Female,13500,Ford,Manual,Black,43000,Suv,Pasco
Male,1100000,Toyota,Manual,Pale white,22000,Hatchback,Janesville
Male,13500,Porsche,Auto,Black,26000,Suv,Scottsdale
Female,13500,Honda,Auto,Pale white,12000,Suv,Scottsdale
Male,910000,Toyota,Manual,Pale white,22000,Passenger,Austin
Male,1859000,Nissan,Auto,Pale white,21900,Hatchback,Janesville
Male,13500,Volkswagen,Auto,Pale white,45000,Hatchback,Austin
Male,1200000,Plymouth,Manual,Pale white,71000,Hatchback,Austin
Male,13500,Saturn,Manual,Pale white,13000,Hatchback,Middletown
Male,1660000,Mercury,Manual,Pale white,14000,Passenger,Greenville
Male,13500,Chevrolet,Manual,Pale white,13000,Passenger,Pasco
Female,13500,Saab,Manual,Pale white,28000,Hatchback,Janesville
Male,905000,Mercedes-b,Manual,Pale white,14000,Hatchback,Scottsdale
Male,13500,Nissan,Manual,Pale white,31000,Passenger,Austin
Male,1152000,Ford,Auto,Pale white,29200,Passenger,Middletown
Male,550000,Chevrolet,Manual,Black,42000,Passenger,Scottsdale
Female,13500,Ford,Manual,Black,18000,Hardtop,Janesville
Male,936000,Audi,Manual,Pale white,13000,Suv,Middletown
Female,580000,Cadillac,Manual,Black,85000,Passenger,Aurora
Male,1900000,Pontiac,Manual,Pale white,43000,Sedan,Greenville
Male,1605000,Buick,Manual,Pale white,43500,Passenger,Pasco
Male,13500,Toyota,Manual,Black,36000,Suv,Pasco
Male,603000,Infiniti,Manual,Pale white,16000,Suv,Janesville
Male,700000,Ford,Auto,Pale white,31000,Sedan,Scottsdale
Male,600000,Dodge,Auto,Black,16000,Passenger,Austin
Male,500000,Saturn,Manual,Pale white,14000,Sedan,Middletown
Female,420000,Dodge,Auto,Black,24000,Suv,Aurora
Female,500000,Dodge,Auto,Pale white,39000,Suv,Greenville
Female,1035000,Acura,Manual,Pale white,14500,Hatchback,Pasco
Female,960000,Volvo,Auto,Pale white,20000,Suv,Janesville
Male,2345000,Nissan,Manual,Pale white,16500,Hardtop,Scottsdale
Male,512000,Volkswagen,Auto,Pale white,31000,Hatchback,Middletown
Male,820000,Bmw,Manual,Black,21000,Suv,Aurora
Male,1050000,Mitsubishi,Auto,Pale white,21000,Hatchback,Greenville
Male,1326000,Toyota,Manual,Black,85600,Hatchback,Pasco
Female,1800000,Dodge,Auto,Black,23000,Hardtop,Aurora
Male,730000,Bmw,Manual,Pale white,21000,Hatchback,Scottsdale
Male,880000,Mitsubishi,Manual,Pale white,24000,Sedan,Austin
Male,925000,Dodge,Auto,Black,22000,Passenger,Janesville
Male,480000,Volkswagen,Manual,Black,25000,Suv,Aurora
Female,1835000,Plymouth,Manual,Pale white,22500,Suv,Greenville
Male,13500,Jeep,Auto,Pale white,19000,Hatchback,Pasco
Female,13500,Plymouth,Auto,Pale white,27000,Suv,Janesville
Male,13500,Lexus,Auto,Pale white,18000,Sedan,Scottsdale
Female,13500,Plymouth,Manual,Black,75000,Passenger,Austin
Male,1635000,Plymouth,Manual,Pale white,71500,Hatchback,Middletown
Male,1705000,Saturn,Manual,Pale white,61500,Hatchback,Aurora
Male,1005000,Mitsubishi,Auto,Pale white,21500,Hatchback,Greenville
Male,920000,Lexus,Manual,Pale white,25000,Sedan,Aurora
Female,840000,Mercedes-b,Manual,Pale white,29000,Suv,Greenville
Male,728000,Lexus,Auto,Black,12000,Hatchback,Pasco
Male,980000,Dodge,Auto,Black,23000,Hardtop,Greenville
Male,1900000,Mitsubishi,Manual,Pale white,19000,Hatchback,Scottsdale
Male,1325000,Pontiac,Auto,Pale white,19500,Hatchback,Austin
Male,1200000,Mitsubishi,Auto,Pale white,21000,Hatchback,Middletown
Male,13500,Nissan,Manual,Pale white,20000,Hatchback,Aurora
Male,610000,Mitsubishi,Manual,Pale white,29001,Hardtop,Austin
Male,1415000,Audi,Manual,Black,25500,Suv,Janesville
Male,685000,Dodge,Auto,Pale white,19000,Hardtop,Scottsdale
Female,637000,Acura,Auto,Black,24000,Suv,Austin
Female,570000,Dodge,Manual,Pale white,20000,Hardtop,Aurora
Male,926000,Buick,Auto,Black,19000,Passenger,Aurora
Male,610000,Oldsmobile,Manual,Pale white,37000,Suv,Greenville
Female,700000,Mercedes-b,Manual,Pale white,17000,Passenger,Pasco
Male,1525000,Buick,Manual,Black,29500,Hatchback,Janesville
Male,1900000,Lexus,Auto,Pale white,46000,Sedan,Scottsdale
Female,960000,Acura,Auto,Black,45000,Passenger,Scottsdale
Male,720000,Ford,Manual,Pale white,25000,Hatchback,Austin
Male,13500,Ford,Manual,Black,25000,Hardtop,Janesville
Male,715000,Chevrolet,Manual,Pale white,14000,Suv,Austin
Male,852000,Mercedes-b,Auto,Pale white,19000,Passenger,Pasco
Male,690000,Chevrolet,Manual,Pale white,12000,Passenger,Janesville
Male,1030000,Acura,Manual,Pale white,17000,Suv,Pasco
Male,3200000,Chrysler,Auto,Black,26000,Hatchback,Janesville
Male,13500,Toyota,Manual,Black,27000,Passenger,Austin
Male,13500,Jeep,Auto,Pale white,19000,Hatchback,Middletown
Male,785000,Mitsubishi,Manual,Pale white,29000,Suv,Middletown
Male,725000,Mercedes-b,Auto,Black,14000,Hatchback,Aurora
Male,450000,Cadillac,Auto,Black,60000,Passenger,Greenville
Male,515000,Porsche,Manual,Pale white,14000,Suv,Pasco
Male,840500,Dodge,Auto,Pale white,22500,Passenger,Middletown
Male,810000,Mitsubishi,Manual,Black,22000,Hatchback,Aurora
Male,1600000,Volvo,Manual,Pale white,24000,Hatchback,Greenville
Male,1325000,Honda,Manual,Black,43500,Sedan,Pasco
Male,13500,Toyota,Manual,Black,29000,Hatchback,Scottsdale
Male,13500,Pontiac,Auto,Pale white,42000,Passenger,Austin
Male,2120000,Jeep,Manual,Black,19000,Suv,Middletown
Male,405000,Toyota,Manual,Pale white,14000,Suv,Aurora
Female,1450000,Lincoln,Manual,Black,18000,Passenger,Scottsdale
