Date,Gender,Annual Income,Company,Model,Transmission,Color,Price ($),Body Style,Dealer_Region,Year,Month
2022-01-12,Female,13500,Subaru,Forester,Auto,Black,22000,Hardtop,Scottsdale,2022,1
2022-01-13,Female,847000,Plymouth,Breeze,Manual,Pale white,16000,Suv,Scottsdale,2022,1
2022-01-13,Female,13500,Volkswagen,Beetle,Auto,Pale white,45000,Suv,Austin,2022,1
2022-01-13,Male,1176500,Dodge,Intrepid,Manual,Black,11650,Sedan,Middletown,2022,1
2022-01-13,Male,955000,Hyundai,Elantra,Manual,Pale white,26000,Sedan,Aurora,2022,1
2022-01-13,Male,800000,Saturn,Sw,Manual,Black,36000,Passenger,Aurora,2022,1
2022-01-13,Male,13500,Lincoln,Continental,Manual,Pale white,82000,Passenger,Greenville,2022,1
2022-01-13,Female,13500,Chevrolet,Camaro,Auto,Pale white,24000,Sedan,Pasco,2022,1
2022-01-13,Male,626800,Nissan,Pathfinder,Manual,Pale white,11800,Hardtop,Austin,2022,1
2022-01-13,Male,2115000,Toyota,Rav4,Auto,Pale white,27500,Hatchback,Pasco,2022,1
2022-01-13,Male,2810000,Mercury,Villager,Auto,Pale white,36000,Passenger,Janesville,2022,1
2022-01-13,Male,13500,Jaguar,S-type,Manual,Pale white,20000,Passenger,Scottsdale,2022,1
2022-01-13,Male,13500,Mercedes-b,Slk,Manual,Pale white,17000,Passenger,Austin,2022,1
2022-01-13,Male,1589000,Volkswagen,Jetta,Auto,Pale white,16900,Passenger,Pasco,2022,1
2022-01-13,Male,1385000,Buick,Regal,Auto,Pale white,46500,Passenger,Janesville,2022,1
2022-01-13,Male,2000000,Mercedes-b,C-class,Auto,Black,14000,Hatchback,Scottsdale,2022,1
2022-01-13,Male,951000,Toyota,Sienna,Manual,Black,16000,Passenger,Austin,2022,1
2022-01-13,Male,1390000,Volvo,S70,Manual,Black,22000,Hardtop,Austin,2022,1
2022-01-13,Male,2320000,Nissan,Altima,Auto,Pale white,20000,Hatchback,Middletown,2022,1
2022-01-13,Female,2752000,Toyota,Celica,Manual,Pale white,14200,Suv,Aurora,2022,1
2022-01-13,Male,655000,Saturn,Ls,Auto,Pale white,51000,Sedan,Greenville,2022,1
2022-01-17,Male,890000,Mitsubishi,Diamante,Manual,Pale white,19000,Hatchback,Greenville,2022,1
2022-01-17,Male,1330000,Lexus,Gs400,Auto,Pale white,31000,Hatchback,Pasco,2022,1
2022-01-17,Male,13500,Porsche,Carrera cabrio,Auto,Pale white,32000,Passenger,Janesville,2022,1
2022-01-17,Male,900000,Dodge,Ram van,Auto,Pale white,31000,Hatchback,Scottsdale,2022,1
2022-01-17,Male,570000,Oldsmobile,Silhouette,Manual,Pale white,14000,Sedan,Scottsdale,2022,1
2022-01-17,Male,715000,Audi,A6,Manual,Black,25000,Suv,Austin,2022,1
2022-01-17,Female,630000,Oldsmobile,Cutlass,Auto,Pale white,46000,Sedan,Janesville,2022,1
2022-01-17,Female,700500,Mercedes-b,S-class,Auto,Black,39500,Suv,Scottsdale,2022,1
2022-01-17,Male,2130000,Mitsubishi,3000gt,Auto,Black,39000,Sedan,Middletown,2022,1
2022-01-17,Male,13500,Bmw,528i,Auto,Black,31000,Suv,Aurora,2022,1
2022-01-17,Male,2950000,Chevrolet,Malibu,Manual,Pale white,41000,Hatchback,Greenville,2022,1
2022-01-17,Male,2150000,Chrysler,300m,Auto,Pale white,22000,Suv,Pasco,2022,1
2022-01-17,Female,1700000,Ford,Mustang,Manual,Black,22000,Hatchback,Middletown,2022,1
2022-01-17,Male,13500,Dodge,Viper,Auto,Pale white,41000,Suv,Aurora,2022,1
2022-01-17,Male,1540000,Jaguar,S-type,Manual,Pale white,21000,Passenger,Greenville,2022,1
2022-01-17,Male,1300000,Mercedes-b,Slk,Manual,Black,26000,Passenger,Pasco,2022,1
2022-01-17,Male,960000,Mercedes-b,E-class,Auto,Pale white,31000,Sedan,Pasco,2022,1
2022-01-17,Male,13500,Pontiac,Grand am,Auto,Pale white,19000,Suv,Janesville,2022,1
2022-01-17,Male,1810000,Saturn,Lw,Manual,Pale white,13000,Hatchback,Scottsdale,2022,1
2022-01-17,Male,1130000,Saturn,Sc,Auto,Black,33000,Hardtop,Middletown,2022,1
2022-01-19,Male,1090000,Mercury,Sable,Manual,Pale white,61000,Sedan,Austin,2022,1
2022-01-19,Male,500000,Toyota,Land cruiser,Auto,Black,21000,Suv,Middletown,2022,1
2022-01-19,Female,1700000,Nissan,Maxima,Manual,Pale white,16000,Sedan,Austin,2022,1
2022-01-19,Male,860000,Oldsmobile,Bravada,Auto,Pale white,15000,Hatchback,Middletown,2022,1
2022-01-19,Male,13500,Volkswagen,Passat,Manual,Pale white,27000,Hatchback,Janesville,2022,1
2022-01-19,Male,2035000,Volkswagen,Passat,Auto,Pale white,13500,Hatchback,Scottsdale,2022,1
2022-01-19,Male,1372500,Nissan,Xterra,Auto,Black,9250,Passenger,Janesville,2022,1
2022-01-19,Male,1800000,Ford,Mustang,Auto,Pale white,31000,Hatchback,Scottsdale,2022,1
2022-01-19,Male,1250000,Volkswagen,Passat,Auto,Pale white,32000,Hatchback,Middletown,2022,1
2022-01-19,Male,1175000,Volvo,S40,Auto,Pale white,29500,Sedan,Aurora,2022,1
2022-01-21,Male,1100000,Mercury,Villager,Manual,Pale white,14000,Passenger,Aurora,2022,1
2022-01-21,Male,1315000,Nissan,Frontier,Auto,Pale white,18501,Hatchback,Greenville,2022,1
2022-01-21,Female,480000,Acura,Rl,Manual,Pale white,17001,Suv,Pasco,2022,1
2022-01-21,Female,423500,Mitsubishi,Montero sport,Manual,Pale white,12500,Suv,Janesville,2022,1
2022-01-21,Female,13500,Bmw,528i,Manual,Black,21000,Suv,Scottsdale,2022,1
2022-01-21,Male,13500,Bmw,528i,Auto,Pale white,62000,Suv,Aurora,2022,1
2022-01-21,Male,653000,Ford,Crown victoria,Auto,Black,11000,Passenger,Greenville,2022,1
2022-01-21,Male,13500,Nissan,Frontier,Manual,Pale white,20000,Hatchback,Pasco,2022,1
2022-01-21,Male,2862000,Honda,Accord,Auto,Pale white,21200,Sedan,Janesville,2022,1
2022-01-21,Male,2180000,Toyota,Camry,Manual,Black,29000,Hatchback,Scottsdale,2022,1
2022-01-21,Male,13500,Cadillac,Eldorado,Auto,Pale white,17000,Passenger,Austin,2022,1
2022-01-21,Male,1500000,Lexus,Es300,Auto,Pale white,27000,Hatchback,Middletown,2022,1
2022-01-21,Male,1190000,Volvo,S40,Manual,Black,36000,Sedan,Aurora,2022,1
2022-01-21,Female,920000,Lincoln,Navigator,Auto,Black,19000,Sedan,Greenville,2022,1
2022-01-21,Male,320000,Nissan,Frontier,Auto,Pale white,18000,Hatchback,Pasco,2022,1
2022-01-21,Male,690000,Chevrolet,Prizm,Auto,Pale white,15000,Hardtop,Janesville,2022,1
2022-01-21,Male,13500,Toyota,Tacoma,Manual,Pale white,24000,Hardtop,Middletown,2022,1
2022-01-21,Male,905000,Nissan,Sentra,Auto,Black,16000,Passenger,Scottsdale,2022,1
2022-01-21,Male,13500,Ford,Crown victoria,Auto,Pale white,29000,Passenger,Austin,2022,1
2022-01-21,Female,1180000,Pontiac,Bonneville,Auto,Pale white,19000,Hatchback,Middletown,2022,1
2022-01-21,Male,800000,Mercedes-b,Cl500,Manual,Black,22000,Suv,Greenville,2022,1
2022-01-21,Male,1225000,Dodge,Viper,Auto,Pale white,23500,Suv,Pasco,2022,1
2022-01-21,Female,1200000,Mitsubishi,Galant,Auto,Pale white,36000,Passenger,Janesville,2022,1
2022-01-21,Male,13500,Pontiac,Bonneville,Auto,Pale white,19000,Hatchback,Scottsdale,2022,1
2022-01-21,Male,1350000,Toyota,Tacoma,Auto,Pale white,53000,Hardtop,Pasco,2022,1
2022-01-23,Male,426000,Cadillac,Escalade,Auto,Black,28000,Sedan,Austin,2022,1
2022-01-23,Male,1447500,Oldsmobile,Silhouette,Auto,Black,60750,Sedan,Middletown,2022,1
2022-01-23,Male,770000,Chevrolet,Prizm,Auto,Pale white,42000,Hardtop,Janesville,2022,1
2022-01-23,Male,1610000,Cadillac,Eldorado,Manual,Pale white,31000,Passenger,Middletown,2022,1
2022-01-23,Female,1540000,Ford,Contour,Auto,Pale white,62000,Sedan,Janesville,2022,1
2022-01-23,Male,1285000,Mercedes-b,S-class,Auto,Black,39500,Suv,Scottsdale,2022,1
2022-01-23,Male,1400000,Toyota,Tacoma,Manual,Pale white,24001,Hardtop,Aurora,2022,1
2022-01-23,Male,1200000,Mercedes-b,C-class,Auto,Pale white,15000,Hatchback,Greenville,2022,1
2022-01-23,Male,1720000,Nissan,Quest,Manual,Black,19000,Suv,Middletown,2022,1
2022-01-23,Female,600000,Volkswagen,Golf,Auto,Pale white,35000,Hardtop,Austin,2022,1
2022-01-24,Male,457000,Hyundai,Sonata,Manual,Pale white,21000,Suv,Aurora,2022,1
2022-01-24,Male,2450000,Nissan,Altima,Auto,Pale white,20000,Hatchback,Aurora,2022,1
2022-01-24,Male,1975000,Ford,Ranger,Manual,Black,18500,Hatchback,Austin,2022,1
2022-01-24,Female,860000,Chevrolet,Corvette,Auto,Pale white,45000,Suv,Pasco,2022,1
2022-01-24,Male,944000,Oldsmobile,Silhouette,Auto,Pale white,12000,Sedan,Greenville,2022,1
2022-01-26,Male,1135000,Chevrolet,Prizm,Manual,Pale white,21500,Suv,Greenville,2022,1
2022-01-26,Female,2210000,Volvo,S40,Manual,Pale white,17000,Sedan,Greenville,2022,1
2022-01-26,Male,316000,Chevrolet,Corvette,Auto,Pale white,46000,Suv,Middletown,2022,1
2022-01-26,Male,1151000,Toyota,Corolla,Auto,Pale white,41100,Passenger,Janesville,2022,1
2022-01-26,Male,1385000,Toyota,Rav4,Manual,Pale white,22500,Hatchback,Pasco,2022,1
2022-01-27,Female,700000,Mercury,Grand marquis,Auto,Black,9000,Suv,Pasco,2022,1
2022-01-27,Male,1542000,Chevrolet,Cavalier,Manual,Pale white,20200,Suv,Janesville,2022,1
2022-01-27,Female,962000,Nissan,Maxima,Manual,Pale white,59000,Sedan,Scottsdale,2022,1
2022-01-27,Male,1290000,Volvo,S70,Manual,Black,22000,Suv,Austin,2022,1
2022-01-27,Male,2250000,Subaru,Outback,Auto,Pale white,57000,Suv,Pasco,2022,1
2022-01-27,Female,2155000,Chevrolet,Corvette,Auto,Pale white,25500,Suv,Janesville,2022,1
2022-01-27,Male,13500,Acura,Rl,Manual,Black,18000,Suv,Scottsdale,2022,1
2022-01-27,Female,13500,Honda,Odyssey,Manual,Pale white,27000,Passenger,Austin,2022,1
2022-01-27,Female,807000,Toyota,Rav4,Manual,Pale white,22000,Hatchback,Aurora,2022,1
2022-01-27,Female,825000,Toyota,Tacoma,Manual,Pale white,82000,Hatchback,Greenville,2022,1
2022-01-27,Female,720000,Plymouth,Prowler,Auto,Pale white,15000,Hatchback,Pasco,2022,1
2022-01-27,Female,850000,Toyota,Camry,Auto,Pale white,31000,Hatchback,Janesville,2022,1
2022-01-27,Male,1130000,Volkswagen,Passat,Auto,Pale white,13000,Hatchback,Scottsdale,2022,1
2022-01-27,Male,13500,Volkswagen,Cabrio,Auto,Pale white,17000,Sedan,Austin,2022,1
2022-01-27,Male,1370000,Chrysler,Sebring coupe,Auto,Pale white,46000,Sedan,Middletown,2022,1
